start_jst	label	note
2026-09-21T14:24	indoor-far	部屋の奥(NHK-FM用の設置のまま)。復調ほぼ0
2026-09-21T14:40	balcony	ベランダ屋外。手すり・建物で南東の低仰角が塞がる。受信率約7%
2026-09-21T16:00	window-high-open	窓際・高い位置・窓開け。受信率約30%
2026-09-21T16:20	window-high-closed	窓際・高い位置・二重窓閉め。受信率約22%
2026-09-21T17:03	ais-test	AIS試験(ロッド46cm、ADS-B停止)
2026-09-21T17:30	window-low	窓際・約20cm低い位置・窓閉め。受信率約22%(高い位置と差を検出できず)
2026-09-22T07:44	window-high-frame	窓際・約20cm上げた位置・窓閉め。ただしエレメントが縦のアルミ枠に1〜2cmで平行、上端の枠にも近かった(失敗例)。南東2〜4.6°の受信率 38%→12%(標本17)
2026-09-22T09:22	window-high-glass	高い位置のまま吸盤をガラス面のほぼ中央へ。縦のアルミ枠から20〜30cm以上、上端の枠からも十分離す。垂直。アンテナ全体が手すり(縦格子の金属)の上端より上。ロッド長は実測で上約7.6cm・下約6.1cm(合計約13.7cm、半波長ダイポールの理想値とほぼ一致)。網戸は樹脂製。窓の左側(東〜北東方向と見られる)に近い高層マンションがあり、東〜北東の死角の原因と推定
2026-09-22T11:22	window-high-glass-futon	アンテナ位置は変更なし(ガラス中央)。手すりに布団を干すため、手すりの高さ付近が一時的に遮蔽される見込み。低仰角(特に南側)の受信率低下を予想。撤去時刻は追って記録
2026-09-22T11:47	window-high-glass-futon-adjusted	布団干し中のまま、窓を少し閉めてサッシ(アルミ枠)とアンテナの位置関係を調整。11:22からの反射器的な干渉(南側に垂直アルミ棒が立つ形)が緩和された可能性あり。布団撤去は別途記録予定
